Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Cabo Verde,CPV,6000000,11000000,55000000,52000000,76000000,62000000,53000000,56000000,49000000,55000000,75000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Cambodia,KHM,86000000,1389000000,10069000000,11278000000,12700000000,14825000000,17716000000,19307000000,22472000000,23470000000,26661000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Cameroon,CMR,2002000000,1833000000,3305000000,3233000000,3803000000,4084000000,3132000000,4317000000,5584000000,4927000000,5900000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Canada,CAN,127629000000,276635000000,389991000000,420665000000,452313000000,448817000000,390821000000,509441000000,602514000000,570209000000,568747000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Cayman Islands,CYM,..,..,58000000,39000000,41000000,50000000,21000000,17000000,38000000,55000000,68000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Central African Republic,CAF,120000000,161000000,115000000,140000000,164000000,148000000,134000000,150000000,164000000,171000000,121000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Chad,TCD,188000000,183000000,2090000000,2621000000,2670000000,2588000000,1808000000,2711000000,4422000000,4604000000,4500000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Chile,CHL,8373000000,19210000000,60718000000,68823000000,74839000000,68794000000,74023000000,94601000000,98477000000,92972000000,99164000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,China,CHN,62091000000,249203000000,2097632000000,2263346000000,2486695000000,2499457000000,2589952000000,3316022000000,3544434000000,3379044000000,3576653000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Colombia,COL,6721000000,13043000000,31757000000,36897000000,41774000000,39489000000,31008000000,40287000000,56999000000,49545000000,49564000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Comoros,COM,18000000,14000000,31000000,39000000,41000000,39000000,21000000,34000000,54000000,31000000,30000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,"Congo, Dem. Rep.",COD,2326000000,807000000,7193000000,12296000000,20004000000,13382000000,14230000000,21412000000,15672000000,27727000000,29900000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,"Congo, Rep.",COG,981000000,2489000000,7901000000,8252000000,11155000000,5576000000,4893000000,7512000000,8870000000,7651000000,7859000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Costa Rica,CRI,1448000000,5850000000,10361000000,10769000000,11495000000,11864000000,12319000000,15494000000,16597000000,19025000000,21688000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Cote d'Ivoire,CIV,3072000000,3888000000,10876000000,11853000000,11912000000,12718000000,12454000000,15334000000,16429000000,18350000000,20148000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Croatia,HRV,..,4432000000,13813000000,16069000000,17402000000,17180000000,17193000000,21878000000,25467000000,24960000000,25955000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Cuba,CUB,5100000000,1676000000,2317000000,2402000000,2373000000,2062000000,1703000000,1966000000,2170000000,1583000000,1607000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Curacao,CUW,..,..,419000000,425000000,586000000,398000000,271000000,344000000,562000000,495000000,491000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Cyprus,CYP,951000000,951000000,2965000000,3288000000,5052000000,3453000000,3063000000,3963000000,4512000000,5020000000,4418000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Czechia,CZE,..,29094000000,162692000000,182142000000,202238000000,199128000000,191911000000,226564000000,242015000000,255549000000,263063000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Denmark,DNK,36870000000,51292000000,95326000000,102506000000,109696000000,111076000000,108454000000,125945000000,131702000000,130132000000,133242000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Djibouti,DJI,25000000,32000000,1732000000,3162000000,3522000000,3996000000,2785000000,3829000000,4608000000,4785000000,5169000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Dominica,DMA,55000000,54000000,18000000,12000000,10000000,19000000,16000000,20000000,22000000,22000000,29000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Dominican Republic,DOM,2170000000,5737000000,9840000000,10135000000,10638000000,11193000000,10302000000,12486000000,13750000000,12950000000,13872000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Ecuador,ECU,2714000000,4927000000,16798000000,19122000000,21628000000,22329000000,20355000000,26699000000,32658000000,31126000000,34421000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,"Egypt, Arab Rep.",EGY,2585000000,5276000000,25468000000,25604000000,27624000000,29000000000,27078000000,41310000000,51280000000,42081000000,42247000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,El Salvador,SLV,582000000,2941000000,5420000000,5760000000,5905000000,5905000000,4805000000,6395000000,7115000000,6498000000,6448000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Equatorial Guinea,GNQ,62000000,1097000000,4137000000,4970000000,6052000000,5268000000,2859000000,3845000000,6661000000,3157000000,2979000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Eritrea,ERI,..,37000000,436000000,583000000,669000000,530000000,583000000,500000000,600000000,483000000,576000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Estonia,EST,..,3830000000,13171000000,14559000000,17017000000,16101000000,16340000000,21560000000,22859000000,19634000000,18832000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Eswatini,SWZ,556000000,910000000,1633000000,1801000000,1842000000,2002000000,1752000000,2068000000,1991000000,2096000000,2327000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Ethiopia,ETH,298000000,486000000,2789000000,3022000000,2704000000,2741000000,3258000000,3949000000,3970000000,3468000000,4501000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Faroe Islands,FRO,418000000,474000000,1191679731.68217,1305756809.93165,..,..,..,..,..,..,..,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Fiji,FJI,497000000,585000000,926000000,956000000,1041000000,1033000000,826000000,815000000,1055000000,1068000000,1133000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Finland,FIN,26571000000,46102000000,57908000000,68073000000,75869000000,73468000000,66220000000,81996000000,86069000000,82561000000,78011000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,France,FRA,216588000000,327611000000,501179000000,535298000000,582222000000,570951000000,488637000000,585021000000,620461000000,651122000000,639048000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,French Polynesia,PYF,111000000,221000000,173000000,153000000,148000000,133000000,72000000,113000000,131000000,244000000,159000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Gabon,GAB,2204000000,2598000000,9503000000,5771000000,8584000000,7714000000,7345000000,8031000000,10470000000,12695000000,13100000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,"Gambia, The",GMB,31000000,16000000,105000000,124000000,140000000,133000000,61000000,33000000,40000000,287000000,264000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Georgia,GEO,..,323000000,2117000000,2746000000,3380000000,3798000000,3341000000,4243000000,5583000000,6086000000,6559000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Germany,DEU,421100000000,551810000000,1334355000000,1448191000000,1560539000000,1489412000000,1382533000000,1627375000000,1676472000000,1702278000000,1681655000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Ghana,GHA,897000000,1671000000,11138000000,13835000000,14943000000,15668000000,14472000000,14727000000,17276000000,16703000000,20221000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Gibraltar,GIB,..,..,307000000,..,..,..,..,..,..,..,..,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Greece,GRC,8105000000,11751000000,28151000000,32627000000,39502000000,37907000000,35215000000,47218000000,58524000000,55153000000,54025000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Greenland,GRL,452000000,273000000,575000000,596000000,699000000,826000000,816000000,802000000,825000000,903000000,757000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Grenada,GRD,27000000,48000000,30000000,30000000,31000000,34000000,25000000,35000000,37000000,46000000,33000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Guam,GUM,82000000,74000000,33000000,33000000,34000000,32000000,36000000,44000000,33000000,44000000,42000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Guatemala,GTM,1163000000,2711000000,10447000000,10990000000,10769000000,11175000000,11521000000,13753000000,15695000000,14199000000,14601000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Guinea,GIN,671000000,666000000,2414000000,4594000000,3978000000,3945000000,8931000000,10239000000,8753000000,9180000000,9859000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Guinea-Bissau,GNB,19000000,62000000,277000000,339000000,339000000,249000000,214000000,300000000,245000000,240000000,246000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Guyana,GUY,257000000,498000000,1441000000,1437000000,1339000000,1567000000,2590000000,4356000000,11281000000,13210000000,19792000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Haiti,HTI,160000000,318000000,986000000,980000000,1078000000,1202000000,885000000,1130000000,1282000000,898000000,711000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Honduras,HND,934000000,3343000000,7960000000,8656000000,8644000000,8788000000,7683000000,10247000000,12281000000,11383000000,11083000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,"Hong Kong SAR, China",HKG,82390000000,202683000000,516635000000,549865000000,568456000000,534887000000,548773000000,669903000000,609925000000,573871000000,645537000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Hungary,HUN,10000000000,28192000000,101919000000,113806000000,124705000000,123796000000,120654000000,141830000000,151672000000,161303000000,157208000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Iceland,ISL,1592000000,1901000000,4436000000,4878000000,5556000000,5223000000,4582000000,5987000000,7389000000,6789000000,6936000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,India,IND,17969000000,42379000000,264542000000,299241000000,324778000000,324340000000,276410000000,395426000000,453415000000,431559000000,442762000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Indonesia,IDN,25675000000,65403000000,144490000000,168811000000,180124000000,167683000000,163306000000,231506000000,291979000000,258857000000,264706000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,"Iran, Islamic Rep.",IRN,19305000000,28739000000,72903000000,92764000000,103422000000,65718000000,46916000000,71646000000,97852000000,97357000000,112556000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Iraq,IRQ,10314000000,20380000000,41298000000,57559000000,86360000000,80211000000,46863000000,73084000000,118045000000,99149000000,100990000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Ireland,IRL,23743000000,77413000000,130864000000,137359000000,164794000000,169625000000,180104000000,190658000000,214156000000,208320000000,241612000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Israel,ISR,12080000000,31404000000,60571000000,61150000000,61952000000,58507000000,50152000000,60159000000,73585000000,63345000000,62270000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Italy,ITA,170304000000,240518000000,461737000000,507418000000,549526000000,537718000000,499792000000,615635000000,658557000000,676724000000,674455000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Jamaica,JAM,1158000000,1295000000,1202000000,1310000000,1961000000,1651000000,1251000000,1481000000,1901000000,2002000000,1867000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Japan,JPN,287581000000,479249000000,645052000000,698329000000,738143000000,705564000000,641319000000,756032000000,746835000000,717261000000,707009000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Jordan,JOR,1064000000,1899000000,7549000000,7511000000,7750000000,8317000000,7943000000,9358000000,12780000000,12552000000,13286000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Kazakhstan,KAZ,..,8812000000,36685000000,48304000000,60956000000,57309000000,46447000000,60625000000,84593000000,78533000000,82471000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Kenya,KEN,1032000000,1734000000,5695000000,5747000000,6052000000,5839000000,6034000000,6739000000,7411000000,7191000000,8237000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Kiribati,KIR,3000000,4000000,11000000,15000000,8000000,12000000,9000000,9000000,9000000,19000000,24000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,"Korea, Dem. People's Rep.",PRK,1857000000,708000000,3006000000,1770000000,251000000,280000000,90000000,80000000,160000000,330000000,363000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,"Korea, Rep.",KOR,65016000000,172268000000,495426000000,573694000000,604860000000,542233000000,512498000000,644400000000,683585000000,632226000000,683609000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Kuwait,KWT,7042000000,19436000000,46273000000,55015000000,71938000000,64483000000,40116000000,63128000000,99985000000,83981000000,75993000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Kyrgyz Republic,KGZ,..,511000000,1573000000,1764000000,1837000000,1986000000,1973000000,2752000000,2255000000,3385000000,3828000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Lao PDR,LAO,79000000,330000000,4245000000,4873000000,5408000000,5806000000,6115000000,7695000000,8198000000,8370000000,9386000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Latvia,LVA,..,1868000000,12294000000,14126000000,16166000000,15705000000,16337000000,20833000000,24100000000,22650000000,20666000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Lebanon,LBN,494000000,715000000,3930000000,4026000000,3830000000,4829000000,4085000000,4138000000,4485000000,4139000000,3781000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Lesotho,LSO,62000000,220000000,881000000,1028000000,1221000000,919000000,845000000,935000000,894000000,825000000,992000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Liberia,LBR,868000000,329000000,279000000,358000000,548000000,543000000,608000000,881000000,1027000000,1123000000,1304000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Libya,LBY,13878000000,10081000000,20880000000,20881000000,30994000000,29250000000,8443000000,30972000000,39196000000,33080000000,29064000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Lithuania,LTU,..,3810000000,25010000000,29901000000,33337000000,33151000000,32805000000,40706000000,46485000000,42981000000,39715000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Luxembourg,LUX,..,8378000000,15796000000,15761000000,16412000000,16451000000,13839000000,16800000000,17377000000,17189000000,16215000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,"Macao SAR, China",MAC,1701000000,2539000000,1257000000,1406000000,1510000000,1586000000,1353000000,1620000000,1677000000,1654000000,1678000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Madagascar,MDG,319000000,824000000,2254000000,2848000000,3110000000,2696000000,2026000000,2729000000,3652000000,3340000000,2582000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Malawi,MWI,417000000,379000000,1022000000,839000000,838000000,899000000,771000000,1009000000,900000000,966000000,947000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Malaysia,MYS,29452000000,98229000000,189743000000,218130000000,247455000000,238195000000,234766000000,299425000000,352094000000,312965000000,330419000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Maldives,MDV,78000000,109000000,256000000,318000000,339000000,361000000,286000000,285000000,400000000,421000000,383000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Mali,MLI,359000000,545000000,2826000000,2896000000,3584000000,3675000000,4794000000,4858000000,5376000000,5655000000,5486000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Malta,MLT,1133000000,2453000000,3186000000,2858000000,3192000000,3178000000,2837000000,3064000000,3253000000,3467000000,3782000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Marshall Islands,MHL,3000000,9000000,36000000,40000000,41000000,55000000,44000000,90000000,96000000,64000000,65000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Mauritania,MRT,469000000,355000000,1623000000,1989000000,2052000000,2266000000,2829000000,3267000000,3778000000,4065000000,4145000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Mauritius,MUS,1194000000,1557000000,2359000000,2342000000,2366000000,2223000000,1789000000,1962000000,2388000000,2295000000,2368000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Mexico,MEX,40711000000,166367000000,373948000000,409433000000,450713000000,460604000000,417171000000,494949000000,577698000000,593005000000,617100000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,"Micronesia, Fed. Sts.",FSM,4000000,22000000,49000000,46000000,47000000,41000000,125000000,115000000,111000000,106000000,185000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Moldova,MDA,..,472000000,2045000000,2425000000,2706000000,2779000000,2467000000,3144000000,4332000000,4049000000,3555000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Mongolia,MNG,661000000,536000000,4916000000,6201000000,7012000000,7620000000,7576000000,9241000000,12539000000,15187000000,15783000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Montenegro,MNE,..,..,361000000,421000000,472000000,465000000,419000000,515000000,742000000,729000000,664000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Morocco,MAR,4265000000,7432000000,22661000000,25272000000,28609000000,29132000000,27159000000,35843000000,41481000000,41642000000,45226000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Mozambique,MOZ,126000000,364000000,3328000000,4755000000,6037000000,4787000000,3720000000,5704000000,8299000000,8276000000,8211000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Myanmar,MMR,325000000,1620000000,11831000000,13879000000,16614000000,17997000000,16692000000,15154000000,17085000000,14753000000,14924000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Namibia,NAM,1085000000,1320000000,4084000000,5229000000,7488000000,4743000000,3868000000,4417000000,5828000000,5526000000,6544000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Nauru,NRU,..,..,18000000,15000000,9000000,14000000,12000000,31000000,43000000,38000000,34000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Nepal,NPL,204000000,804000000,696000000,742000000,786000000,968000000,856000000,1684000000,1296000000,1145000000,1316000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Netherlands,NLD,131775000000,233130000000,570606000000,652065000000,726697000000,708596000000,674602000000,840032000000,963492000000,936171000000,921218000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,New Caledonia,NCL,449000000,604000000,1330000000,1561000000,1929000000,1700000000,1722000000,1835000000,2552000000,2116000000,1237000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,New Zealand,NZL,9394000000,13297000000,33756000000,38075000000,39673000000,39517000000,38377000000,44777000000,45102000000,41399000000,42289000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Nicaragua,NIC,330000000,881000000,4782000000,5170000000,5014000000,5272000000,5087000000,6495000000,7360000000,7378000000,7522000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Niger,NER,282000000,283000000,1032000000,1206000000,1202000000,1126000000,1116000000,1212000000,1046000000,992000000,1749000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Nigeria,NGA,13596000000,20975000000,33302000000,44468000000,60547000000,62531000000,35634000000,46871000000,63075000000,55182000000,53320000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,North Macedonia,MKD,..,1323000000,4790000000,5668000000,6911000000,7189000000,6638000000,8186000000,8727000000,8999000000,8422000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Northern Mariana Islands,MNP,..,1017000000,6000000,5000000,5000000,5000000,5000000,3000000,5000000,4000000,6000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Norway,NOR,34047000000,60058000000,88410000000,101054000000,121791000000,102799000000,84459000000,160106000000,250518000000,178537000000,167916000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Oman,OMN,5508000000,11319000000,30014000000,32904000000,41761000000,38724000000,33479000000,44591000000,66063000000,59011000000,63016000000,..
